collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00122	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-12	IA	1		MORPHO	none	1	3	Culex sp.	1.717417	3	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00020
soroti_collection_00122	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-12	IA	1		MORPHO	none	1	3	Anopheles gambiae sensu lato	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00021
soroti_collection_00122	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-12	IA	1		MORPHO	none	1	3	Anopheles gambiae sensu lato	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00022
soroti_collection_00033	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	327	HLC-IN	33.736604	notEmpty	FALSE	soroti_sample_00023
soroti_collection_00033	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	80	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00024
soroti_collection_00033	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	387	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00025
soroti_collection_00033	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	21	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00026
soroti_collection_00033	2015-07-11	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	12	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00027
soroti_collection_00033	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	23	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00028
soroti_collection_00033	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Culicidae	1.717417	6	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00029
soroti_collection_00088	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	14	HLC-OUT	33.736604	notEmpty	FALSE	soroti_sample_00030
soroti_collection_00088	2015-07-11	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-14	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	133	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00031
